direction,query_id,query,positive_id,positive_rank_seed42,positive_item,ranks_all_seeds,top10_seed42,retrieved_items_seed42,predeclared_categories
t2i,18952::caption_1,A brunet male in a brown blazer talking to an audience at a comedian show.,18952,37,"{""image_id"": ""18952"", ""image_path"": ""data/flickr30k/validation_images/18952.jpg""}","{""42.0"": 37, ""43.0"": 67, ""44.0"": 33}","[""26268"", ""26632"", ""28430"", ""11190"", ""27707"", ""4840"", ""10741"", ""22291"", ""12521"", ""29095""]","[{""image_id"": ""26268"", ""image_path"": ""data/flickr30k/validation_images/26268.jpg""}, {""image_id"": ""26632"", ""image_path"": ""data/flickr30k/validation_images/26632.jpg""}, {""image_id"": ""28430"", ""image_path"": ""data/flickr30k/validation_images/28430.jpg""}, {""image_id"": ""11190"", ""image_path"": ""data/flickr30k/validation_images/11190.jpg""}, {""image_id"": ""27707"", ""image_path"": ""data/flickr30k/validation_images/27707.jpg""}, {""image_id"": ""4840"", ""image_path"": ""data/flickr30k/validation_images/4840.jpg""}, {""image_id"": ""10741"", ""image_path"": ""data/flickr30k/validation_images/10741.jpg""}, {""image_id"": ""22291"", ""image_path"": ""data/flickr30k/validation_images/22291.jpg""}, {""image_id"": ""12521"", ""image_path"": ""data/flickr30k/validation_images/12521.jpg""}, {""image_id"": ""29095"", ""image_path"": ""data/flickr30k/validation_images/29095.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,2256::caption_0,"A young woman and older woman wear traditional saris as they spin textiles, three people are pictured at only the waists, and wear modern clothes.",2256,83,"{""image_id"": ""2256"", ""image_path"": ""data/flickr30k/validation_images/2256.jpg""}","{""42.0"": 83, ""43.0"": 20, ""44.0"": 19}","[""20853"", ""5752"", ""14199"", ""29492"", ""1478"", ""28990"", ""1162"", ""26141"", ""22099"", ""18440""]","[{""image_id"": ""20853"", ""image_path"": ""data/flickr30k/validation_images/20853.jpg""}, {""image_id"": ""5752"", ""image_path"": ""data/flickr30k/validation_images/5752.jpg""}, {""image_id"": ""14199"", ""image_path"": ""data/flickr30k/validation_images/14199.jpg""}, {""image_id"": ""29492"", ""image_path"": ""data/flickr30k/validation_images/29492.jpg""}, {""image_id"": ""1478"", ""image_path"": ""data/flickr30k/validation_images/1478.jpg""}, {""image_id"": ""28990"", ""image_path"": ""data/flickr30k/validation_images/28990.jpg""}, {""image_id"": ""1162"", ""image_path"": ""data/flickr30k/validation_images/1162.jpg""}, {""image_id"": ""26141"", ""image_path"": ""data/flickr30k/validation_images/26141.jpg""}, {""image_id"": ""22099"", ""image_path"": ""data/flickr30k/validation_images/22099.jpg""}, {""image_id"": ""18440"", ""image_path"": ""data/flickr30k/validation_images/18440.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,10810::caption_4,Somebody in the street with some sweatpants on.,10810,49,"{""image_id"": ""10810"", ""image_path"": ""data/flickr30k/validation_images/10810.jpg""}","{""42.0"": 49, ""43.0"": 52, ""44.0"": 59}","[""23945"", ""22003"", ""25205"", ""1271"", ""7330"", ""22213"", ""19253"", ""15329"", ""21091"", ""27246""]","[{""image_id"": ""23945"", ""image_path"": ""data/flickr30k/validation_images/23945.jpg""}, {""image_id"": ""22003"", ""image_path"": ""data/flickr30k/validation_images/22003.jpg""}, {""image_id"": ""25205"", ""image_path"": ""data/flickr30k/validation_images/25205.jpg""}, {""image_id"": ""1271"", ""image_path"": ""data/flickr30k/validation_images/1271.jpg""}, {""image_id"": ""7330"", ""image_path"": ""data/flickr30k/validation_images/7330.jpg""}, {""image_id"": ""22213"", ""image_path"": ""data/flickr30k/validation_images/22213.jpg""}, {""image_id"": ""19253"", ""image_path"": ""data/flickr30k/validation_images/19253.jpg""}, {""image_id"": ""15329"", ""image_path"": ""data/flickr30k/validation_images/15329.jpg""}, {""image_id"": ""21091"", ""image_path"": ""data/flickr30k/validation_images/21091.jpg""}, {""image_id"": ""27246"", ""image_path"": ""data/flickr30k/validation_images/27246.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,5553::caption_0,Two young couples posing for a picture in exercise clothing.,5553,96,"{""image_id"": ""5553"", ""image_path"": ""data/flickr30k/validation_images/5553.jpg""}","{""42.0"": 96, ""43.0"": 63, ""44.0"": 59}","[""30177"", ""8339"", ""20478"", ""9174"", ""14824"", ""22639"", ""30369"", ""29884"", ""4054"", ""10244""]","[{""image_id"": ""30177"", ""image_path"": ""data/flickr30k/validation_images/30177.jpg""}, {""image_id"": ""8339"", ""image_path"": ""data/flickr30k/validation_images/8339.jpg""}, {""image_id"": ""20478"", ""image_path"": ""data/flickr30k/validation_images/20478.jpg""}, {""image_id"": ""9174"", ""image_path"": ""data/flickr30k/validation_images/9174.jpg""}, {""image_id"": ""14824"", ""image_path"": ""data/flickr30k/validation_images/14824.jpg""}, {""image_id"": ""22639"", ""image_path"": ""data/flickr30k/validation_images/22639.jpg""}, {""image_id"": ""30369"", ""image_path"": ""data/flickr30k/validation_images/30369.jpg""}, {""image_id"": ""29884"", ""image_path"": ""data/flickr30k/validation_images/29884.jpg""}, {""image_id"": ""4054"", ""image_path"": ""data/flickr30k/validation_images/4054.jpg""}, {""image_id"": ""10244"", ""image_path"": ""data/flickr30k/validation_images/10244.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,20129::caption_2,A man holding a sign and a man playing a guitar are speaking in front of a crowd.,20129,222,"{""image_id"": ""20129"", ""image_path"": ""data/flickr30k/validation_images/20129.jpg""}","{""42.0"": 222, ""43.0"": 190, ""44.0"": 188}","[""19141"", ""3304"", ""20171"", ""17212"", ""27707"", ""4561"", ""30188"", ""26268"", ""18126"", ""1103""]","[{""image_id"": ""19141"", ""image_path"": ""data/flickr30k/validation_images/19141.jpg""}, {""image_id"": ""3304"", ""image_path"": ""data/flickr30k/validation_images/3304.jpg""}, {""image_id"": ""20171"", ""image_path"": ""data/flickr30k/validation_images/20171.jpg""}, {""image_id"": ""17212"", ""image_path"": ""data/flickr30k/validation_images/17212.jpg""}, {""image_id"": ""27707"", ""image_path"": ""data/flickr30k/validation_images/27707.jpg""}, {""image_id"": ""4561"", ""image_path"": ""data/flickr30k/validation_images/4561.jpg""}, {""image_id"": ""30188"", ""image_path"": ""data/flickr30k/validation_images/30188.jpg""}, {""image_id"": ""26268"", ""image_path"": ""data/flickr30k/validation_images/26268.jpg""}, {""image_id"": ""18126"", ""image_path"": ""data/flickr30k/validation_images/18126.jpg""}, {""image_id"": ""1103"", ""image_path"": ""data/flickr30k/validation_images/1103.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,1516::caption_2,A young man wearing a white helmet climbing up a rock wall,1516,12,"{""image_id"": ""1516"", ""image_path"": ""data/flickr30k/validation_images/1516.jpg""}","{""42.0"": 12, ""43.0"": 12, ""44.0"": 18}","[""13760"", ""12446"", ""4280"", ""280"", ""28233"", ""1746"", ""30479"", ""19652"", ""11293"", ""11945""]","[{""image_id"": ""13760"", ""image_path"": ""data/flickr30k/validation_images/13760.jpg""}, {""image_id"": ""12446"", ""image_path"": ""data/flickr30k/validation_images/12446.jpg""}, {""image_id"": ""4280"", ""image_path"": ""data/flickr30k/validation_images/4280.jpg""}, {""image_id"": ""280"", ""image_path"": ""data/flickr30k/validation_images/280.jpg""}, {""image_id"": ""28233"", ""image_path"": ""data/flickr30k/validation_images/28233.jpg""}, {""image_id"": ""1746"", ""image_path"": ""data/flickr30k/validation_images/1746.jpg""}, {""image_id"": ""30479"", ""image_path"": ""data/flickr30k/validation_images/30479.jpg""}, {""image_id"": ""19652"", ""image_path"": ""data/flickr30k/validation_images/19652.jpg""}, {""image_id"": ""11293"", ""image_path"": ""data/flickr30k/validation_images/11293.jpg""}, {""image_id"": ""11945"", ""image_path"": ""data/flickr30k/validation_images/11945.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,30971::caption_0,"Two men are using phone-booths that are located shortly outside of the downtown area of a city, by some trees.",30971,38,"{""image_id"": ""30971"", ""image_path"": ""data/flickr30k/validation_images/30971.jpg""}","{""42.0"": 38, ""43.0"": 23, ""44.0"": 34}","[""21441"", ""19688"", ""19956"", ""12018"", ""16365"", ""22936"", ""20138"", ""14842"", ""22916"", ""21130""]","[{""image_id"": ""21441"", ""image_path"": ""data/flickr30k/validation_images/21441.jpg""}, {""image_id"": ""19688"", ""image_path"": ""data/flickr30k/validation_images/19688.jpg""}, {""image_id"": ""19956"", ""image_path"": ""data/flickr30k/validation_images/19956.jpg""}, {""image_id"": ""12018"", ""image_path"": ""data/flickr30k/validation_images/12018.jpg""}, {""image_id"": ""16365"", ""image_path"": ""data/flickr30k/validation_images/16365.jpg""}, {""image_id"": ""22936"", ""image_path"": ""data/flickr30k/validation_images/22936.jpg""}, {""image_id"": ""20138"", ""image_path"": ""data/flickr30k/validation_images/20138.jpg""}, {""image_id"": ""14842"", ""image_path"": ""data/flickr30k/validation_images/14842.jpg""}, {""image_id"": ""22916"", ""image_path"": ""data/flickr30k/validation_images/22916.jpg""}, {""image_id"": ""21130"", ""image_path"": ""data/flickr30k/validation_images/21130.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,6318::caption_1,Two women and many children are walking single file down the street.,6318,43,"{""image_id"": ""6318"", ""image_path"": ""data/flickr30k/validation_images/6318.jpg""}","{""42.0"": 43, ""43.0"": 80, ""44.0"": 13}","[""10963"", ""22642"", ""22213"", ""23151"", ""10061"", ""843"", ""20736"", ""24251"", ""19544"", ""23219""]","[{""image_id"": ""10963"", ""image_path"": ""data/flickr30k/validation_images/10963.jpg""}, {""image_id"": ""22642"", ""image_path"": ""data/flickr30k/validation_images/22642.jpg""}, {""image_id"": ""22213"", ""image_path"": ""data/flickr30k/validation_images/22213.jpg""}, {""image_id"": ""23151"", ""image_path"": ""data/flickr30k/validation_images/23151.jpg""}, {""image_id"": ""10061"", ""image_path"": ""data/flickr30k/validation_images/10061.jpg""}, {""image_id"": ""843"", ""image_path"": ""data/flickr30k/validation_images/843.jpg""}, {""image_id"": ""20736"", ""image_path"": ""data/flickr30k/validation_images/20736.jpg""}, {""image_id"": ""24251"", ""image_path"": ""data/flickr30k/validation_images/24251.jpg""}, {""image_id"": ""19544"", ""image_path"": ""data/flickr30k/validation_images/19544.jpg""}, {""image_id"": ""23219"", ""image_path"": ""data/flickr30k/validation_images/23219.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,23531::caption_4,A tattoo artist at work.,23531,25,"{""image_id"": ""23531"", ""image_path"": ""data/flickr30k/validation_images/23531.jpg""}","{""42.0"": 25, ""43.0"": 51, ""44.0"": 24}","[""24885"", ""17929"", ""17926"", ""15610"", ""29843"", ""18464"", ""28169"", ""6063"", ""27171"", ""2177""]","[{""image_id"": ""24885"", ""image_path"": ""data/flickr30k/validation_images/24885.jpg""}, {""image_id"": ""17929"", ""image_path"": ""data/flickr30k/validation_images/17929.jpg""}, {""image_id"": ""17926"", ""image_path"": ""data/flickr30k/validation_images/17926.jpg""}, {""image_id"": ""15610"", ""image_path"": ""data/flickr30k/validation_images/15610.jpg""}, {""image_id"": ""29843"", ""image_path"": ""data/flickr30k/validation_images/29843.jpg""}, {""image_id"": ""18464"", ""image_path"": ""data/flickr30k/validation_images/18464.jpg""}, {""image_id"": ""28169"", ""image_path"": ""data/flickr30k/validation_images/28169.jpg""}, {""image_id"": ""6063"", ""image_path"": ""data/flickr30k/validation_images/6063.jpg""}, {""image_id"": ""27171"", ""image_path"": ""data/flickr30k/validation_images/27171.jpg""}, {""image_id"": ""2177"", ""image_path"": ""data/flickr30k/validation_images/2177.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
t2i,11539::caption_4,THe dog takes a rest in the park.,11539,35,"{""image_id"": ""11539"", ""image_path"": ""data/flickr30k/validation_images/11539.jpg""}","{""42.0"": 35, ""43.0"": 12, ""44.0"": 31}","[""13094"", ""9758"", ""5950"", ""7156"", ""9724"", ""2324"", ""10084"", ""9291"", ""14001"", ""1074""]","[{""image_id"": ""13094"", ""image_path"": ""data/flickr30k/validation_images/13094.jpg""}, {""image_id"": ""9758"", ""image_path"": ""data/flickr30k/validation_images/9758.jpg""}, {""image_id"": ""5950"", ""image_path"": ""data/flickr30k/validation_images/5950.jpg""}, {""image_id"": ""7156"", ""image_path"": ""data/flickr30k/validation_images/7156.jpg""}, {""image_id"": ""9724"", ""image_path"": ""data/flickr30k/validation_images/9724.jpg""}, {""image_id"": ""2324"", ""image_path"": ""data/flickr30k/validation_images/2324.jpg""}, {""image_id"": ""10084"", ""image_path"": ""data/flickr30k/validation_images/10084.jpg""}, {""image_id"": ""9291"", ""image_path"": ""data/flickr30k/validation_images/9291.jpg""}, {""image_id"": ""14001"", ""image_path"": ""data/flickr30k/validation_images/14001.jpg""}, {""image_id"": ""1074"", ""image_path"": ""data/flickr30k/validation_images/1074.jpg""}]","[""fine_grained_attribute"", ""counting_quantity"", ""spatial_relation"", ""action_interaction"", ""object_category_confusion"", ""scene_context_confusion"", ""text_ocr_content"", ""annotation_ambiguity"", ""other""]"
