config_id,vision_encoder,text_encoder,variant,task,metric,value,best_epoch,checkpoint,mode,split_role,dataset_split
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_i2t_R@1,0.1777999997138977,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_i2t_R@5,0.4090000092983246,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_i2t_R@10,0.5482000112533569,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_mean_rank_i2t,29.08839988708496,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_median_rank_i2t,8.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_t2i_R@1,0.1488366574048996,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_t2i_R@5,0.3830654919147491,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_t2i_R@10,0.5231470465660095,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_mean_rank_t2i,32.45778274536133,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_median_rank_t2i,9.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_num_image_queries,5000.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__bge_small_en__baseline,convnext_tiny,bge_small_en,baseline,coco_retrieval,coco5_num_text_queries,25014.0,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_bge_small_en_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_i2t_R@1,0.1198000013828277,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_i2t_R@5,0.321399986743927,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_i2t_R@10,0.4550000131130218,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_mean_rank_i2t,39.57400131225586,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_median_rank_i2t,13.0,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_t2i_R@1,0.1017030477523803,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_t2i_R@5,0.2937954664230346,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_t2i_R@10,0.4242024421691894,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_mean_rank_t2i,46.24062347412109,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_median_rank_t2i,15.0,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_num_image_queries,5000.0,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__distilbert__baseline,convnext_tiny,distilbert,baseline,coco_retrieval,coco5_num_text_queries,25014.0,1,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_distilbert_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,coco_retrieval,coco5_i2t_R@1,0.1659999936819076,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_e5_small_v2_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,coco_retrieval,coco5_i2t_R@5,0.3959999978542328,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_e5_small_v2_baseline/best.pt,full,development,coco_val2017_development
convnext_tiny__e5_small_v2__baseline,convnext_tiny,e5_small_v2,baseline,coco_retrieval,coco5_i2t_R@10,0.5252000093460083,2,/mnt/fast/nobackup/scratch4weeks/pp01184/alignment_vlm/checkpoints/convnext_tiny_e5_small_v2_baseline/best.pt,full,development,coco_val2017_development
