rank,tier,short_name,year,identifier,project_area,why_it_ranks_here,source_type,verification_level,credibility,recency,origin
1,1,"Attention Please! Revisiting Attentive Probing",2025,arXiv:2506.10178,token aggregation,Same object and same accuracy-vs-parameter framing on frozen features; closest threat to the current contribution,preprint primary,abstract_fetched_verbatim,4,5,new_2026-08-06
2,1,SigLIP 2 / MAP head,2025,arXiv:2502.14786,token aggregation,MAP head is a line-for-line match to LearnedQueryTextPool; both towers pooled this way,preprint primary + implementation,search_summary_plus_impl,4,5,new_2026-08-06
3,1,SAIL / Harnessing Frozen Unimodal Encoders,2024,arXiv:2409.19425,frozen alignment,Direct competitor; frozen DINOv2 + text encoder with trained projectors,peer-reviewed primary,full_text_and_supplement,5,5,prior_corpus
4,1,Freeze-Align,2025,see prior corpus 01,frozen alignment,Direct competitor establishing the frozen-tower alignment method,peer-reviewed primary,selected_fulltext_sections,5,5,prior_corpus
5,1,ShareLock,2026,see prior corpus 03,frozen alignment,Direct competitor; most recent in the frozen-alignment line,peer-reviewed primary,primary_abstract,5,5,prior_corpus
6,1,STRUCTURE,2025,see prior corpus 07,frozen alignment,Direct competitor,peer-reviewed primary,primary_abstract,5,5,prior_corpus
7,1,CoCa attentional pooler,2022,arXiv:2205.01917,token aggregation,Establishes learned-query pooling inside a contrastive image-text model,peer-reviewed primary,search_summary,5,3,new_2026-08-06
8,1,Set Transformer (PMA),2018,arXiv:1810.00825,token aggregation,Origin of pooling-by-learned-seed; k=1 is the project's exact config,peer-reviewed primary,search_summary,5,2,new_2026-08-06
9,2,Sentence-BERT,2019,arXiv:1908.10084,text aggregation,Justifies the masked-mean T0 baseline and predicts a small text-side gain,peer-reviewed primary,search_summary,5,2,new_2026-08-06
10,2,Flamingo (tanh gating),2022,arXiv:2204.14198,gated adaptation,Closest precedent for zero-init gating onto a frozen backbone,peer-reviewed primary,search_summary,5,3,new_2026-08-06
11,2,LiT,2022,see prior corpus 04,frozen alignment,Locked-tower precursor,peer-reviewed primary,primary_abstract,5,3,prior_corpus
12,2,Cross-Batch Memory (XBM),2020,see prior corpus 15,memory queue,Direct basis for CrossBatchMemory and the projector-drift concern,peer-reviewed primary,full_text_and_supplement,5,2,prior_corpus
13,2,Reproducible scaling laws for CLIP,2022,arXiv:2212.07143,data scaling,Quantifies the data-scale explanation for the 26-38pp reference gap,peer-reviewed primary,search_summary,5,3,new_2026-08-06
14,2,E5 text embeddings,2022,arXiv:2212.03533,text encoder,Provenance of the e5_small_v2 arm and its passage prefix,peer-reviewed primary,search_summary,5,3,new_2026-08-06
15,2,UniCL,2022,see prior corpus 12,multi-positive loss,Basis for multi-positive contrastive keyed on image id,peer-reviewed primary,selected_fulltext_sections,5,3,prior_corpus
16,2,Supervised Contrastive Learning,2020,see prior corpus 13,multi-positive loss,Multi-positive loss foundation,peer-reviewed primary,selected_fulltext_sections,5,2,prior_corpus
17,2,SigLIP (loss),2023,see prior corpus 10,loss,Sigmoid loss variant implemented in the codebase,peer-reviewed primary,primary_abstract,5,4,prior_corpus
18,2,MoCo,2020,see prior corpus 16,memory queue,Queue consistency foundation,peer-reviewed primary,primary_abstract,5,2,prior_corpus
19,2,CaiT / LayerScale,2021,arXiv:2103.17239,gated adaptation,Zero-init per-channel residual gating precedent,peer-reviewed primary,search_summary,5,2,new_2026-08-06
20,RETRACTED,Attentive Multi-Layer Fusion for ViTs,2026,arXiv:2601.09322,cross-layer fusion (NOT token aggregation),RETRACTED 2026-08-06 - quotation was fabricated and source never fetched; paper concerns fusion across ViT layers not spatial pooling; low relevance to this project,preprint primary,RETRACTED_never_fetched,0,5,new_2026-08-06
21,2,Benchmark Granularity / Robustness for ITR,2024,arXiv:2407.15239,error decomposition,Closest published analogue to probe1 failure taxonomy,preprint primary,search_summary,3,4,new_2026-08-06
