audit_id,query_caption,candidate_A,candidate_B,candidate_C,candidate_D,candidate_E,rubric_categories,candidate_F,audit_label,audit_rationale,audit_confidence
audit_000,A female UPS worker stacks boxes.,data/flickr30k/validation_images/1520.jpg,data/flickr30k/validation_images/1365.jpg,data/flickr30k/validation_images/17914.jpg,data/flickr30k/validation_images/1716.jpg,data/flickr30k/validation_images/13261.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate E shows a woman handling and stacking cardboard boxes; the other scenes do not satisfy the described action.,high
audit_001,Two Indian children in formal costume happily performing a ritual dance.,data/flickr30k/validation_images/30369.jpg,data/flickr30k/validation_images/18956.jpg,data/flickr30k/validation_images/28126.jpg,data/flickr30k/validation_images/29492.jpg,data/flickr30k/validation_images/23998.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate A shows exactly two Indian children in coordinated formal costumes performing a dance.,high
audit_002,Two children jumping on a screened in blue and black trampoline while outside surrounded by trees.,data/flickr30k/validation_images/26186.jpg,data/flickr30k/validation_images/15582.jpg,data/flickr30k/validation_images/9907.jpg,data/flickr30k/validation_images/19165.jpg,data/flickr30k/validation_images/30177.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate A shows two children jumping inside a blue-and-black screened outdoor trampoline surrounded by trees.,high
audit_003,A man on a bicycle rides amongst automobile traffic.,data/flickr30k/validation_images/27310.jpg,data/flickr30k/validation_images/12449.jpg,data/flickr30k/validation_images/22872.jpg,data/flickr30k/validation_images/28590.jpg,data/flickr30k/validation_images/15204.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,underspecified,"Several candidates show a man riding a bicycle in an urban road environment with automobiles, and the caption lacks details that select one.",medium
audit_004,This old Asian woman rests and fans herself on an apparently hot day in the city.,data/flickr30k/validation_images/10449.jpg,data/flickr30k/validation_images/24490.jpg,data/flickr30k/validation_images/22916.jpg,data/flickr30k/validation_images/25007.jpg,data/flickr30k/validation_images/22889.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate A shows an older Asian woman seated in a city setting and visibly fanning herself.,high
audit_005,"An older man with thin white hair, a beard, and glasses is wearing a white muscle shirt and vest while waiting by the tennis court.",data/flickr30k/validation_images/12018.jpg,data/flickr30k/validation_images/13278.jpg,data/flickr30k/validation_images/13583.jpg,data/flickr30k/validation_images/22772.jpg,data/flickr30k/validation_images/7376.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate D shows an older thin-haired bearded man with glasses in a white shirt and vest beside a tennis-court fence.,high
audit_006,"A man in tan capris, brown sandals, and a white t-shirt, crouches on the trunk of a tree.",data/flickr30k/validation_images/7228.jpg,data/flickr30k/validation_images/16799.jpg,data/flickr30k/validation_images/1516.jpg,data/flickr30k/validation_images/27508.jpg,data/flickr30k/validation_images/26756.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Candidate B is the only scene consistent with a man in light clothing crouching on or immediately against a tree trunk; the clothing detail is small but the other candidates clearly fail.,medium
audit_007,"A person stands beside a boat, on a dock, looking out across a lake that reflect trees in the distance.",data/flickr30k/validation_images/2006.jpg,data/flickr30k/validation_images/24443.jpg,data/flickr30k/validation_images/18983.jpg,data/flickr30k/validation_images/118.jpg,data/flickr30k/validation_images/24905.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate A shows a person on a dock beside a boat looking across a calm lake reflecting distant trees.,high
audit_008,"A woman is reading a card while sitting on an end of a couch, while another woman is standing next to her holding a glass to drink.",data/flickr30k/validation_images/7454.jpg,data/flickr30k/validation_images/4641.jpg,data/flickr30k/validation_images/99.jpg,data/flickr30k/validation_images/18440.jpg,data/flickr30k/validation_images/13347.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate A shows one woman seated at the end of a couch reading a card while another stands beside her holding a drink.,high
audit_009,A bizarrely dressed child pulls luggage through the market.,data/flickr30k/validation_images/12684.jpg,data/flickr30k/validation_images/1382.jpg,data/flickr30k/validation_images/10557.jpg,data/flickr30k/validation_images/12075.jpg,data/flickr30k/validation_images/5204.jpg,"[""annotated_image_uniquely_correct"", ""retrieved_alternative_equally_plausible"", ""retrieved_alternative_related_but_incorrect"", ""query_intrinsically_ambiguous_or_generic"", ""insufficient_evidence""]",,unique,Only candidate A shows a conspicuously dressed child pulling luggage through a market.,high
