check_number,check,severity,passed,details
1,safe notebook defaults,required,True,"observed={'RUN_PHASE1_TRAINING': False, 'RUN_SEED_SWEEP': False, 'RUN_QUALITATIVE_RETRIEVAL': False, 'RUN_MULTITASK_EVALUATION': False, 'RUN_PHASE15': False, 'RUN_DEVELOPMENT_EVALUATION': False, 'RUN_EFFICIENCY_PROFILING': False, 'RUN_DIAGNOSTIC_HARD_NEGATIVE_MINING': False, 'RUN_TRAINING_HARD_NEGATIVE_MINING': False, 'RUN_MODE': 'smoke', 'RESULTS_ONLY': True}"
2,canonical retrieval results,required,True,valid
3,seed-sweep results,required,True,valid
4,multi-task development outputs,required,True,valid
5,strict prediction coverage,required,True,115/115 exports valid
6,retrieval complementarity,required,True,valid
7,classification complementarity,required,True,valid
8,retrieval oracle,required,True,valid
9,classification oracle,required,True,valid
10,cross-task matrix,required,True,valid
11,cross-task rank analysis,required,True,valid
12,efficiency profiles,required,True,valid
13,seed reliability mapping,required,True,valid
14,canonical selected_experts.yaml,required,True,valid schema_version=1
15,pair-shortlist diversity constraints,required,True,"{""at_most_two_per_text"": true, ""at_most_two_per_vision"": true, ""two_text_encoders"": true, ""two_vision_families"": true}"
16,no inconclusive BLF duplicate,required,True,no inconclusive BLF duplicate in primary paths
17,training hard negatives,required,True,training negatives have train/development metadata
18,training-negative leakage validation,required,True,zero protected-ID overlap
19,diagnostic negatives non-trainable,required,True,diagnostic negatives are explicitly non-trainable
20,development/final evaluation protocol,required,True,present
21,selected checkpoints,required,True,all selected checkpoints exist
22,selected encoder registry coverage,required,True,all selected encoders are registered
23,optional compositional benchmarks,warning,True,optional task status is documented
